@relation stac_combined

@attribute hasCLAY NUMERIC
@attribute hasORE NUMERIC
@attribute hasSHEEP NUMERIC
@attribute hasWHEAT NUMERIC
@attribute hasWOOD NUMERIC
@attribute hasROADS NUMERIC
@attribute hasSETTLEMENTS NUMERIC
@attribute hasCITIES NUMERIC
@attribute recCLAY NUMERIC
@attribute recORE NUMERIC
@attribute recSHEEP NUMERIC
@attribute recWHEAT NUMERIC
@attribute recWOOD NUMERIC
@attribute GIVABLE {CLAY, ORE, SHEEP, WHEAT, WOOD}

@data
0,4,0,0,0,3,2,0,0,0,0,0,0,ORE
1,1,0,0,4,6,3,0,0,0,0,0,0,WOOD
2,0,3,0,0,7,2,0,0,0,0,1,1,SHEEP
1,0,3,0,1,7,2,0,0,0,0,0,0,SHEEP
1,0,3,0,1,7,2,0,0,0,0,0,0,SHEEP
1,1,0,0,3,7,3,0,0,0,1,0,0,WOOD
0,4,0,0,1,7,3,0,0,0,0,0,0,ORE
0,3,2,0,0,3,2,0,0,0,0,0,0,ORE
4,5,1,0,0,2,2,0,0,0,0,0,0,CLAY
4,5,1,0,0,2,2,0,0,0,0,0,0,CLAY
0,1,0,0,3,4,3,0,1,0,0,0,0,WOOD
4,3,0,1,1,3,2,0,0,0,0,0,0,CLAY
0,0,0,0,1,3,3,0,0,0,0,0,0,WOOD
3,1,0,1,0,4,2,0,0,0,0,0,0,CLAY
3,1,0,2,0,6,2,0,0,0,1,0,0,CLAY
4,0,1,1,0,6,2,0,0,0,0,0,0,CLAY
0,0,3,0,1,3,2,0,1,0,0,0,0,SHEEP
0,0,2,2,1,4,3,0,1,0,0,0,0,SHEEP
1,0,2,0,3,3,2,0,0,0,0,0,0,SHEEP
0,0,2,2,1,4,3,0,0,0,0,0,0,SHEEP
1,0,3,0,3,3,2,0,0,0,0,0,0,SHEEP
0,0,3,0,2,4,2,0,0,0,0,1,0,SHEEP
1,0,4,2,0,2,2,0,0,0,0,0,0,SHEEP
0,0,3,0,2,3,2,0,0,0,0,0,0,SHEEP
0,0,0,0,3,7,2,0,0,0,0,0,0,WOOD
0,0,1,2,2,4,2,0,0,0,0,0,0,WHEAT
1,2,0,2,2,4,3,0,0,0,0,0,0,CLAY
0,0,1,4,2,4,2,0,0,1,0,0,0,WHEAT
1,2,0,3,1,3,2,0,0,0,0,0,0,WOOD
1,2,0,3,1,3,2,0,0,0,0,0,0,CLAY
0,1,0,1,2,4,0,0,0,0,0,0,0,WOOD
2,1,0,1,3,3,0,0,0,0,1,0,0,WOOD
0,1,0,2,1,3,2,0,0,0,0,0,0,ORE
1,1,0,3,1,3,2,0,0,0,0,0,0,WHEAT
1,2,0,3,1,3,2,0,0,0,0,0,0,WHEAT
0,0,0,0,1,7,3,2,0,0,0,0,0,WOOD
1,0,0,4,0,7,2,0,0,0,0,0,0,WHEAT
1,0,0,4,0,7,2,0,0,0,0,0,0,WHEAT
0,3,0,4,4,6,5,0,0,0,0,1,0,WOOD
2,0,1,2,3,6,3,2,1,0,0,0,0,WHEAT
0,2,0,6,1,7,3,2,0,0,0,0,0,WHEAT
0,2,0,6,1,7,3,2,0,0,0,0,0,WHEAT
0,0,1,2,0,7,4,0,0,1,0,0,0,WHEAT
0,2,0,6,1,7,3,2,0,0,0,0,0,WHEAT
1,1,1,1,0,3,2,0,0,0,0,0,0,ORE
